descriptionIlabel;;;;;;;;;;;;
<b>В условиях кризиса сидеть на «мешке с деньгами – преступно», считает эксперт ОНФ</b>.  Неосвоение порядка 2 млрд рублей средств дорожного фонда в Чувашии — следствие кадровой чехарды в правительстве региона и управленческо-организационные недоработки при работе с бюджетными...I3;;;;;;;;;;;;
<b>В Госдуме предлагают создать указом президента госкомитет по стратегическому планированию при правительстве РФ</b>.  Без введения элементов индикативного стратегического планирования в оперативном управлении страной нынешняя экономическая модель будет все время рассыпаться. Как...I3;;;;;;;;;;;;
<b>Наряду с Сербией, Германией и арабскими странами Китай имеет серьезные инвестиционные виды на маленькую балканскую страну</b>.  Китайское экономическое присутствие на Балканах уже давно не новость. Наибольшая активность инвесторов из Поднебесной уже несколько лет отмечается в Сербии в...I3;;;;;;;;;;;;
<b>«До тех пор, пока мирное соглашение в Минске не будет выполнено в полном объеме»</b>.  Экс-председатель Европарламента, кандидат на пост канцлера Германии от социал-демократов Мартин Шульц считает, что санкции против России нужно сохранить, передает Reuters 1 февраля...I3;;;;;;;;;;;;
<b>Госдума обсуждает проект федерального бюджета на 2017-2019 гг. в третьем чтении</b>.  Из-за принимаемого Госдумой бюджету кризис будет только нарастать, богатые — богатеть, а нищие — нищать. Как передает корреспондент ИА REGNUM 9 декабря, об этом заявил в ходе выступления в рамках...I3;;;;;;;;;;;;
<b>Госдума обсуждает проект федерального бюджета на 2017-2019 гг. в третьем чтении</b>.  Бюджет-2017 предполагает не самые благоприятные условия на 2017 и последующие два года, и поэтому станет «бюджетом терпения». Как передает корреспондент ИА REGNUM 9 декабря, об этом заявил...I3;;;;;;;;;;;;
<b>Крайне низкое доверие к пенсионной системе является неблагоприятным фактором для ее реформирования, полагает эксперт</b>.  Модернизация системы учета Пенсионного фонда будет стоить гораздо меньше, чем создание отдельного центрального администратора пенсионных накоплений. Об этом заявил...I3;;;;;;;;;;;;
<b>Прокуратура области вскрывает сотни нарушений в сфере жилищного строительства, а жилье на островах остается самым дорогим в России</b>.  Сахалинские власти обещают жителям островного региона 2,5 тысячи новоселий до конца 2017 года. В то же время, прокуроры островного региона вскрывают...I3;;;;;;;;;;;;
<b>Иностранные игроки теряют желание инвестировать в отечественные активы, отмечает эксперт</b>.  Выступления представителей ФРС США на этой неделе окажут на рубль гораздо более сильное влияние, нежели выступление президента США Дональда Трампа перед Конгрессом. Возможность повышения...I5;;;;;;;;;;;;
<b>Рынок подержанных автомобилей вырастет на 12% в 2017 году, прогнозирует эксперт</b>.  Авторынок в 2017 году не будет расти, и «на плаву» останутся только стабильные компании. Об этом заявил корреспонденту ИА REGNUM 13 января директор департамента розничных продаж ГК...I4;;;;;;;;;;;;
<b>Соглашения по ограничению добычи в 2017 году снова будут забыты</b>.  В 2017 году возможна коррекция курса рубля, в случае его ослабления нельзя исключать повышения ключевой ставки. Все большую роль в мировой экономике в 2017 году будет играть новая резервная валюта — юань, полагает...I3;;;;;;;;;;;;
<b>Дональд Трамп каждый день «пугает» инвесторов</b>.  Фондовый рынок США продолжает падение — за день торгов в Нью-Йорке индексы Dow Jones и S&P 500 упали, композитный Nasdaq «замер» на прежнем уровне, передает Associated Press 1 февраля. Промышленный индекс Dow...I5;;;;;;;;;;;;
<b>При нынешней денежно-кредитной политике ЦБ укрепление рубля может продлиться долго, предупреждает эксперт</b>.  Инвесторы никак не отреагировали на интервенции ЦБ и Минфина, поскольку на фоне жесткой денежно-кредитной политики Банка России и высоких цен на нефть в Россию привлекаются...I3;;;;;;;;;;;;
<b>Юридическая служба компании изучает возможности дальнейшей защиты прав и интересов, нарушенных приговором Хозяйственного суда Киева</b>.  «Газпром» рассматривает различные варианты дальнейшей правовой защиты своих прав и законных интересов, нарушенных решением...I2;;;;;;;;;;;;
<b>К моменту начала оформления участков подано более 36 тыс. заявок, а общее их число по году может составить около 100 тыс</b>.  С 1 февраля 2017 года в России начался третий этап реализации закона о дальневосточном гектаре: получить участок земли может любой гражданин РФ, подавший...I3;;;;;;;;;;;;
<b>Если темп останется прежним, в этом году «рекорда» Dow Jones в 20000 пунктов не случится</b>.  День торгов на фондовом рынке США прошел спокойно — индексы Dow Jones и S&P 500 колебались в пределах 0,1-0,2%, и только «композитный» Nasdaq показал неожиданный...I3;;;;;;;;;;;;
<b>Из-за необъективности и избирательности нынешних СМИ в США люди обращаются к альтернативным источникам информации, попадая в ловушку фальшивых новостей</b>.  «Истории-фальшивки» нынче повсюду. Появляясь в том или иной уголке интернета, они быстро разносятся, словно эпидемии...I3;;;;;;;;;;;;
<b>Прошедший гайдаровский форум не дал ответов на стратегические вызовы, а лишь констатировал текущую ситуацию в экономике</b>.  Прошедший Гайдаровский форум стал заурядным событием, а выступающие эксперты, как представители элиты, ответственной за развитие страны, не могут дать...I3;;;;;;;;;;;;
<b>Настрой нового президента и его команды «внушает оптимизм» большинству инвесторов</b>.  На фондовом рынке США — долгожданный рекорд: промышленный индекс Dow Jones установил новый исторический максимум и покорил отметку в 20000 пунктов, передает Assocaiated Press 26...I4;;;;;;;;;;;;
<b>Баланс нефти и курса доллара позволяет экспорту хорошо себя чувствовать, отмечает эксперт</b>.  Российский рубль продолжает демонстрировать чудеса стабильности. Однако о текущем укреплении российской валюты уже начали беспокоиться российские власти: доллар стоимостью 55 рублей не нужен...I3;;;;;;;;;;;;
<b>Названы мотивы совладельцев сети</b>.  До конца года может быть решён вопрос о разделении российского ритейлера, владеющего сетью салонов сотовой связи «Евросеть», между совладельцами — «Мегафоном» и «Вымпелкомом». Соответствующее предложение...I2;;;;;;;;;;;;
<b>Минтруд предложил заморозить на три года, до 1 января 2020 года, закон об опережающем росте пенсий сельским жителям, проработавшим в сельском хозяйстве 30 лет и больше</b>.  «Единая Россия» обещает по итогам реализации федерального бюджета-2017 за полгода поднять вопрос о...I3;;;;;;;;;;;;
<b>В мониторинговой группе «Родная земля» партии «Единая Россия» до конца февраля 2017 года подготовят план по освоению неиспользуемых сельскохозяйственных земель в регионах и предложения по стимулированию сельхозпроизводителей к освоению земельных участков</b>.  Данные задачи были...I3;;;;;;;;;;;;
<b>Без возрождения разгромленного в начале 1990-х годов Микробиопрома СССР задача достижения продовольственной безопасности России неразрешима</b>.   «Несостоявшая продовольственная революция: опыт разгромленного Микробиопрома СССР в решении актуальных проблем продовольственной...I3;;;;;;;;;;;;
<b>Такая тенденция способствовала уменьшению показателей спада ВВП в 2016 году, полагает депутат</b>.  Модернизация предприятий ОПК обеспечила рост объемов производства, теперь увеличение доли выпуска гражданской продукции является важнейшей задачей отрасли. Как передает корреспондент ИА...I5;;;;;;;;;;;;
<b>За новыми обвинениями по случаю увольнения 70-летних докторов наук и 58-ми кандидатов меднаук, как оказалось, стоит утеря отдельными бывшими сотрудниками вуза очень приличного дохода</b>.  Несмотря на заключения проверяющих — прокуратуры и Алтайминздрава — которые не нашли нарушений в...I2;;;;;;;;;;;;
<b>Трамп продолжает «пугать» инвесторов</b>.  Основные индексы фондового рынка США изменились в пределах 0,1%, причем закрылись разнонаправленно — Dow Jones и Nasdaq снизились, S&P 500 вырос, передает Associated Press 3 февраля. Промышленный индекс Dow Jones упал на 6,03...I3;;;;;;;;;;;;
<b>Размер маткапитала составляет 453, 26 тыс. рублей</b>.  Средства материнского (семейного) капитала не будут индексировать по меньшей мере до 1 января 2020 года включительно, сообщает ИА REGNUM. Соответствующий закон вступил в силу 1 января 2017 года. Закон приостановил действие норм...I3;;;;;;;;;;;;
<b>В лучшем случае в IV квартале 2017 года, прогнозирует эксперт</b>.  Цена одного доллара 60 рублей комфортная, но пара доллар/рубль стремительно идет вниз, а покупка валюты Минфином только укрепляет эту тенденцию. Об этом заявил корреспонденту ИА REGNUM 16 февраля аналитик АЛОР БРОКЕР...I3;;;;;;;;;;;;
<b>Сахалинская Облдума готова содержать федеральные структуры за счет детей-инвалидов</b>.  Сахалинская областная дума намерена потратить значительные средства на содержание федеральных структур — Росгвардии, военкомата. Необходимые для этого средства снимают с финансирования...I3;;;;;;;;;;;;
<b>Сколько продержится эмоциольная реакция?</b>.  Несмотря на заявления властей о будущих валютных интервенциях, в ближайшие недели можно ждать снижения курса российской валюты до 58 рублей за доллар. Об этом заявил корреспонденту ИА REGNUM 19 января вице-президент IFC Financial Center...I3;;;;;;;;;;;;
<b>«По итогам 2016 г. «КамАЗ» реализовал 34 500 грузовых автомобилей»</b>.  Компания «КамАЗ» по итогам прошлого года продала более 34000 грузовиков, что на 21% больше показателей 2015 года. Об этом говорится в сообщении, обнародованном на сайте...I4;;;;;;;;;;;;
<b>Исследователи отнесли Новгородскую область к самым недобросовестным регионам в сфере госзакупок в здравоохранении. В региональном департаменте здравоохранения не согласны</b>.  Пресс-служба департамента здравоохранения Новгородской области прокомментировала рейтинг добросовестности...I2;;;;;;;;;;;;
<b>Китайские СМИ очень резко восприняли назначение «врага Китая» профессора Наварро будущим главой Национального торгового совета США</b>.  Вчерашнее решение нового президента США Дональда Трампа назначить главой Национального торгового совета Питера Наварро, экономиста и...I3;;;;;;;;;;;;
<b>Для более активного кредитования пора снижать ключевую ставку ниже 10%, полагает глава комитета по финрынку</b>.  Для обеспечения более масштабного кредитования банками предприятий малого и среднего бизнеса корпорация МСП может подключиться к гарантированию кредитов таким предприятиям...I3;;;;;;;;;;;;
<b>Конфликт пилотов «Люфтганзы» и ее начальства сказывается на сотнях тысяч людей</b>.  «Люфтганза» отменяет около 1700 полетов за два следующих дня из-за забастовки пилотов по поводу нерешенного спора об оплате труда, сообщает 28 ноября Reuters. На прошлой неделе...I5;;;;;;;;;;;;
<b>Американская валюта не может укрепиться по отношению к конкурентам</b>.  На международном валютном рынке доллар продолжает медленное снижение, передает Associated Press 31 января. По отношению к японской валюте за сутки доллар упал в цене с 115,09 иен до 113,67 иен за доллар. Однако по...I5;;;;;;;;;;;;
<b>Таких гарантий, какие дает национальная платежная система, не дают ни Visa, ни Mastercard, отмечают в Госдуме</b>.  Переход на национальную платежную систему и карту «Мир» позволит защитить сбережения граждан. Как передает корреспондент ИА REGNUM 22 февраля, об этом заявил...I3;;;;;;;;;;;;
<b>В рамках реализации Приоритетной программы «Комплексное развитие моногородов» создан Общественно-деловой совет по направлению «Моногорода». Возглавил Совет Депутат Госдумы Дмитрий Исламов</b>.  О задачах Общественно-делового совета по направлению «Моногорода» Дмитрий...I1;;;;;;;;;;;;
<b>Власти региона рассказали, как планируется потратить 600 млн рублей, выделенных региону Правительством Москвы</b>.  600 миллионов, выделенные мэрией Москвы в рамках соглашения с Ярославской областью, будут потрачены на реконструкцию всего исторического ансамбля зданий Советской площади...I1;;;;;;;;;;;;
<b>Глава Крыма Сергей Аксёнов по дороге в Белогорск увидел, как дорожные рабочие засыпают асфальтом лужу</b>.  В Крыму глава республики Сергей Аксёнов попросил прокуратуру проконтролировать качество дорожных работ у села Васильевка после того, как лично увидел, что дорожные рабочие...I2;;;;;;;;;;;;
<b>Данный ход возможен в случае неудачных переговоров с Трампом</b>.  Министр иностранных дел Мексики Луис Видегарай и министр экономики Идельфонсо Гайярдо сообщили журналистам, что Мексика может принять решение самостоятельно выйти из договора о североамериканской свободной торговле...I3;;;;;;;;;;;;
<b>По данным МЧС, наиболее сложная лесопожарная обстановка прогнозируется в Бурятии, Забайкальском и Красноярском краях</b>.  В регионах Сибирского федерального округа (СФО) продолжается подготовка к борьбе с лесными пожарами. И чем ближе пожароопасный сезон-2017, тем больше отчетов о...I3;;;;;;;;;;;;
<b>Президент России Владимир Путин, обращаясь с ежегодным посланием к Федеральному собранию, предложил рассмотреть идеи по настройке налоговой системы</b>.  Госдума должна играть ведущую роль в настройке налоговой системы. Как передает корреспондент ИА REGNUM 2 декабря, об этом заявил...I3;;;;;;;;;;;;
<b>Москва и Киев в конце ноября возобновили переговоры о поставках газа</b>.  «Нафтогаз Украины» будет закупать газ у российского «Газпрома» при условии подписания дополнительного соглашения и выгодной цены, заявил 5 декабря глава украинской компании Андрей Коболев...I3;;;;;;;;;;;;
<b>«Нафтогаз» ждет роста цен с нынешних $186 за 1 тыс. кубометров до $200-210</b>.  Коммерческий директор компании «Нафтогаз Украины» Юрий Витренко заявил об ожидаемом Украиной с 2017 года росте цен на российский газ. Об этом он написал в своем Facebook. По словам...I1;;;;;;;;;;;;
<b>Госдума во втором чтении рассмотрит президентский законопроект, направленный на усиление уголовной ответственности за незаконное уголовное преследование предпринимателей</b>.  Принятие закона послужит еще одним серьезным сигналом для недобросовестных представителей правоохранительных...I3;;;;;;;;;;;;
<b>Главные новости экономики Украины за период с 1 по 24 января 2017 года</b>.  Приватизация Глава Фонда госимущества Украины Игорь Билоус в интервью изданию «Зеркало недели» заявил о том, что государство нуждается в новой стратегии приватизации. Суть этой стратегии довольно...I3;;;;;;;;;;;;
<b>Госдума обсудила проект федерального бюджета на 2017-2019 гг. в третьем чтении</b>.  Неприятие бюджета будет означать невыполнение социальных обязательств государства. Как передает корреспондент ИА REGNUM 9 декабря, об этом заявил вице-спикер Госдумы Андрей Исаев («Единая...I3;;;;;;;;;;;;
<b>Состоялась инаугурация Дональда Трампа</b>.  Внутренние проблемы США неизбежно скажется на наших переговорах и встречах. Как передает корреспондент ИА REGNUM 25 января, об этом заявил лидер КПРФ Геннадий Зюганов. «Какие бы заявления Трамп ни делал, надо иметь в виду, что ястребы...I3;;;;;;;;;;;;
<b>Видя эффективность от сделки, стран-производители нефти вполне могут пойти на такой шаг, считает эксперт</b>.  Организация стран-экспортеров нефти (ОПЕК) и 11 нефтедобывающих государств, не входящих в картель, вполне могут договориться о том, чтобы продлить соглашение о сокращении...I3;;;;;;;;;;;;
<b>Большинства экспертов на начало 2016 года оценивают предпринимательский климат как неблагоприятный</b>.  Среди факторов, обусловивших формирование неблагоприятного бизнес-климата в России за последние годы, среди ученых, чиновников и предпринимателей наиболее часто указываются...I3;;;;;;;;;;;;
<b>За оптимизацией аппарата чиновников последовало и сокращение расходов и на содержание</b>.  Оренбургская область является передовой областью по сокращению численности работников органов государственной власти, отметила на пресс-конференции первый заместитель министра финансов...I5;;;;;;;;;;;;
<b>Темпы роста отраслей, где отменят льготы, будут замедляться, полагает эксперт</b>.  Инициатива об отмене льгот по НДС прямо противоречит позиции президента России, которая исходит из приоритета интересов развития бизнеса. Об этом заявил корреспонденту ИА REGNUM старший юрист BGP...I3;;;;;;;;;;;;
<b>Более 9% жителей региона считают себя бедняками, а 5% полагают, что находятся за гранью нищеты</b>.  По данным «Дальневосточного центра стратегических разработок», более 40% опрошенных жителей Хабаровского края живут «от зарплаты до зарплаты», передает...I3;;;;;;;;;;;;
<b>Итальянский парламентарий призвал ЕС провести референдум по отказу от евро</b>.  В случае отказа от единой европейской валюты страны Европы со слабой экономикой будут развиваться более интенсивно. Об этом заявил корреспонденту ИА REGNUM 29 ноября замглавы фракции «Справедливая...I3;;;;;;;;;;;;
<b>Глава региона провел встречу с генеральным директором группы компаний «Синко»</b>.  Губернатор Пензенской области Иван Белозерцев встретился с генеральным директором группы компаний «Синко» Эдуардом Мнацаканяном во вторник, 31 января. Как сообщает пресс-служба...I3;;;;;;;;;;;;
<b>Махачкалу с Кубанью и Доном свяжет авиасообщение</b>.  Два новых направления появятся в расписании международного аэропорта города Махачкалы в новом 2017 году. С 13 января откроется авиасообщение между столицей Дагестана и столицами Кубани и Дона. Полеты по маршруту Махачкала —...I1;;;;;;;;;;;;
<b>В Госдуме предлагают обязать региональные власти регулярно отчитываться по выплатам шахтерам</b>.  В ходе встреч с избирателями депутаты Госдумы отмечают отсутствие выплат задолженности шахтерам Гуково, хотя «на бумаге вопрос сдвинулся». Как передает корреспондент ИА REGNUM...I3;;;;;;;;;;;;
<b>Инвесторы стремятся зафиксировать прибыль в конце года</b>.  Американский фондовый рынок закрылся разнонаправленно — индекс S&P 500 вырос, а вот Nasdaq и «лидер» Dow Jones неожиданно пошли вниз, передает Associated Press 22 декабря. Промышленный индекс Dow Jones на торгах в...I3;;;;;;;;;;;;
<b>Китай сможет заполнить пустоту, которая образуется, если США откажутся от своей роли лидера свободной международной торговли</b>.  Существует шанс, что благодаря антиглобалистской риторике избранного президента США Дональда Трампа страны Юго-Восточной Азии будут вынуждены стремиться к...I3;;;;;;;;;;;;
<b>Требования к частным парковкам в законе необходимо изменить, считает глава профильного комитета Госдумы</b>.  Платный въезд в населенные пункты может быть оправдан только для крупных городов, эти полномочия нельзя доверять органам местного самоуправления. Как передает корреспондент ИА...I3;;;;;;;;;;;;
<b>Президент обозначил точки роста</b>.  Президент России Владимир Путин в своем послании Федеральному собранию обозначил точки роста, заявил вице-спикер Госдумы Сергей Неверов («Единая Россия»). «Мы развивались и мы готовили предложения к дальнейшему развитию, и в своем...I1;;;;;;;;;;;;
<b>Великобритания является вторым по значимости торговым партнером Турции</b>.  Премьер-министр Великобритании Тереза Мэй сегодня намерена провести переговоры в Анкаре с президентом Турции Реджепом Тайипом Эрдоганом, передает Reuters 28 января. Согласно заявлению пресс-службы...I3;;;;;;;;;;;;
<b>Следует поменять концепцию экономического развития</b>.  Дальнейшее решение стратегических вопросов России за счет затягивания поясов будет практически невозможно. Как передает корреспондент, об этом заявил депутат Госдумы Михаил Дегтярев (ЛДПР) при обсуждении федерального бюджета на...I3;;;;;;;;;;;;
<b>Вряд ли речь будет идти о существенном и повсеместном увеличении налоговой нагрузки, считает эксперт</b>.  Тема роста налоговых доходов государства становится актуальной в связи со значительным дефицитом бюджета страны, но на данном этапе будут разрабатываться меры по распределению...I3;;;;;;;;;;;;
<b>Депутаты просят ввести акцизы на спиртосодержащую парфюмерно-косметическую продукцию и бытовую химию, а также обязать декларировать объемы производства и оборота спиртосодержащих лекарственных препаратов</b>.  Чувашские парламентарии, которые ещё в прошлом созыве направляли обращение...I3;;;;;;;;;;;;
<b>Крупнейший частный банк Украины перешёл в собственность Минфина за одну гривну</b>.  Министерство финансов Украины и Фонд гарантирования вкладов физических лиц (ФГВФЛ) 21 декабря подписали договор о продаже 100% акций «Приватбанка». Об этом сообщает пресс-служба ФГВФЛ...I3;;;;;;;;;;;;
<b>Глава Glencore возвращается к заключению сделок</b>.  Продажа 19,5% акций «Роснефти» международному консорциуму крайне выгодна как России, так и покупателям. Эта сделка — личный триумф президента России Владимира Путина, пишет Financial Times. «Glencore и Катарский...I5;;;;;;;;;;;;
<b>Инвесторы активно вкладываются в российские активы, отмечает эксперт</b>.  Для ЦБ достаточным является ослабление российской валюты до отметки 61 рубль за доллар, в ближайшее время от регулятора можно ожидать действий, направленных против укрепления рубля. Об этом заявил корреспонденту...I4;;;;;;;;;;;;
<b>Предлагается обсудить прогрессивную шкалу НДФЛ</b>.  Пришло время подумать о донастройке российской налоговой системы. Как передает корреспондент ИА REGNUM, об этом заявила председатель Совета Федерации Валентина Матвиенко на итоговой пресс-конференции 20 декабря. «Вообще в...I3;;;;;;;;;;;;
<b>В случае успешных договоренностей стран картеля курс может укрепиться до отметки 62-63 рубля  за доллар, полагает эксперт</b>.  Ослабление рубля было ожидаемым, поскольку его рост в последние недели был достигнут за счет притока спекулятивного капитала. Об этом заявил корреспонденту ИА...I1;;;;;;;;;;;;
<b>У проекта высокоскоростной железнодорожной магистрали на Урале нулевая целесообразность, считают эксперты и общественники Челябинской области</b>.  Перспективы проекта высокоскоростной железнодорожной магистрали «Челябинск-Екатеринбург», продвигаемого региональными властями...I3;;;;;;;;;;;;
<b>Нефть, доллар и основные индексы «замерли» вблизи прежних отметок</b>.  Рождественские дни на фондовом рынке США обычно называют «ралли Санта-Клауса» из-за резких и непредсказуемых скачков основных индексов, однако в этом году все было с точностью до наоборот —...I3;;;;;;;;;;;;
<b>Здание спортивной школы находится еще на гарантии, и подрядчик обязан безвозмездно устранять все дефекты. Вместе  с тем на портале госзакупок появилось объявление о ремонте фасада здания школы дзюдо стоимостью 5,6 млн рублей</b>.  В Оренбурге в ходе мониторинга выявлена закупка на...I3;;;;;;;;;;;;
<b>Нет оснований для долгосрочного закрепления нефти выше $50 за баррель, считает эксперт</b>.  Рынки охвачены эйфорией: ОПЕК впервые с 2008 года достиг консенсуса: объем добычи будет снижен на 1,2 млн баррелей в день, до 32,5 млн баррелей. Котировки Brent на это реагируют закономерным...I3;;;;;;;;;;;;
<b>Суд Евросоюза первой инстанции подтвердил санкции ЕС против российского концерна «Алмаз-Антей» за 2015-2016 годы</b>.  Решения, подобные подтверждению санкций ЕС против российского концерна «Алмаз-Антей» за 20152016 годы Судом Евросоюза первой инстанции...I2;;;;;;;;;;;;
<b>Госдума обсудила проект федерального бюджета на 2017—2019 гг. в третьем чтении</b>.  «Справедливая Россия» предлагала альтернативный проект бюджета с поддержкой регионов и ростом промышленности, но предложения ее не были услышаны, поэтому фракция выступает против бюджета...I3;;;;;;;;;;;;
<b>Это позволит существенно сократить время на организацию целых торгов</b>.  Государственная корпорация «Росатом» планирует запустить интернет-магазины среди своих аккредитованных поставщиков из малого и среднего бизнеса (МСБ), которые будут размещать актуальный прайс-лист по...I3;;;;;;;;;;;;
<b>Развитие ядерной отрасли будет включать обмен опытом, кадрами и дальнейшее продвижение инновационных технологий</b>.  В ходе визита в Японию генеральный директор госкорпорации «Росатом» Алексей Лихачёв подписал Меморандум о сотрудничестве в мирном использовании атомной...I1;;;;;;;;;;;;
<b>Компания монетизирует доли в перспективных проектах и ускоряет их разработку</b>.  Российская компания ПАО «НК «Роснефть» заключила соглашение добыче углеводородов в акватории Японского моря с представителями японских компаний Marubeni Corporation, Japan Oil, Gas and...I1;;;;;;;;;;;;
<b>Банком оказана фабрике кредитная поддержка в объеме 100 млн рублей</b>.  В Челябинской области при кредитной поддержке АО «Россельхозбанк» приобретено и введено в эксплуатацию на кондитерской фабрике «Кременкульская» оборудование для вертикальной фасовки печенья...I1;;;;;;;;;;;;
<b>Падение «возглавил» банковский сектор</b>.  Фондовый рынок США снова падает — основные индексы не смогли продолжить рост, который наметился днем ранее, передает Associated Press 13 января. В ходе прошедших торгов все основные индексы потеряли примерно столько же, сколько...I5;;;;;;;;;;;;
<b>Евро ежедневно переписывает минимумы к рублю</b>.  В 2016 году рубль преодолел сложный путь. Обвал нефти с первых дней года, североморская марка Brent опустилась к отметке 27 долларов, сам доллар укрепился в России к Крещению на 17%. На торгах Московской биржи «американец&raquo...I3;;;;;;;;;;;;
<b>Средняя зарплата в случае персональных предложений среди эстонцев в полтора раза выше, чем аналогичный показатель среди представителей других национальностей</b>.  Государственный Фонд интеграции и миграции Эстонии «Наши люди» MISA провел анализ всех исследований рынка...I4;;;;;;;;;;;;
<b>Насколько точно подешевеет рубль, пока сказать невозможно, отмечает эксперт</b>.  Минфин взялся за ослабление рубля, это позволяет рассчитывать на то, что в ближайшее время курс составит 6263 рубля за доллар и выше. Об этом заявил корреспонденту ИА REGNUM 7 февраля ведущий...I4;;;;;;;;;;;;
<b>С 2015 года кадровая служба судостроительного завода принимает на работу не менее 900 человек в год</b>.  В 2017 году северодвинскому производственному объединению «Севмаш» потребуются около двух тысяч дополнительных рабочих судостроительных специальностей, сообщает...I3;;;;;;;;;;;;
